2025-12-16T08:43:57.375Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-16T08:43:57.375Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/Downloads
2025-12-16T08:47:54.884Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-16T08:47:54.884Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-16T09:37:59.392Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-16T09:37:59.392Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-16T11:08:37.397Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-16T11:08:37.398Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-16T15:23:19.081Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-16T15:23:19.081Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
