2025-12-10T08:02:50.932Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-10T08:02:50.932Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T08:04:31.370Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T08:04:31.370Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-10T08:55:26.651Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T08:55:26.651Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-10T09:08:34.591Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:08:34.591Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-10T09:16:55.379Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:16:55.379Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-10T09:17:04.535Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:17:04.536Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-10T09:22:31.047Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:22:31.047Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-10T09:30:23.608Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:30:23.609Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-10T09:31:40.416Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:31:40.417Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-10T09:34:48.985Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:34:48.986Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-10T09:44:34.210Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T09:44:34.210Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-10T10:36:52.303Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T10:36:52.304Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/bannerflow-prefect-orchestrator
2025-12-10T14:20:01.934Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T14:20:01.934Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-10T14:20:13.006Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T14:20:13.006Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-10T14:22:25.607Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T14:22:25.607Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/bannerflow-prefect-orchestrator
2025-12-10T14:29:22.992Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T14:29:22.992Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-10T15:37:02.892Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-10T15:37:02.892Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
