2025-12-13T12:20:12.384Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T12:20:12.384Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode/plugin
2025-12-13T12:20:52.057Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T12:20:52.057Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode/plugin
2025-12-13T12:25:04.590Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T12:25:04.590Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-13T12:51:13.525Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T12:51:13.526Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-13T13:00:29.279Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T13:00:29.279Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-13T13:07:27.473Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T13:07:27.473Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-13T13:17:33.733Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T13:17:33.733Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode/plugin
2025-12-13T13:18:35.149Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T13:18:35.149Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode/plugin
2025-12-13T13:26:23.360Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T13:26:23.361Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-13T14:31:43.003Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T14:31:43.003Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-13T14:36:22.478Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T14:36:22.478Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-13T14:39:23.273Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T14:39:23.273Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode/plugin
2025-12-13T14:40:14.229Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T14:40:14.229Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-13T14:40:38.766Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T14:40:38.767Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-13T14:41:08.068Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T14:41:08.069Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope/plugin
2025-12-13T14:46:42.532Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-13T14:46:42.532Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-13T14:47:23.991Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
