2025-12-06T12:04:48.491Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T12:04:48.491Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-06T12:37:07.592Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T12:37:07.592Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-06T12:41:01.656Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T12:41:01.657Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-06T12:49:13.445Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T12:49:13.445Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-06T13:02:21.432Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T13:02:21.432Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/opencode-tokenscope
2025-12-06T13:23:14.877Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T13:23:14.877Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-06T13:23:23.279Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T13:23:23.280Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-06T21:20:21.502Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T21:20:21.502Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-06T21:37:53.202Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T21:37:53.202Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-06T21:42:19.664Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T21:42:19.664Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/bannerflow-prefect-orchestrator
2025-12-06T21:47:29.552Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-06T21:47:29.553Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/data-platform-infrastructure
