2025-12-01T07:45:20.086Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T07:45:20.086Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/agent-at-home
2025-12-01T07:48:21.166Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T07:48:21.167Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/agent-at-home
2025-12-01T09:45:30.481Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T09:45:30.481Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-01T09:46:01.488Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T09:46:01.489Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-01T09:46:15.036Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T09:46:15.036Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/handMadeOasis
2025-12-01T19:29:24.307Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T19:29:24.307Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T19:30:15.697Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T19:30:15.697Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T19:36:54.844Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T19:36:54.844Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T19:43:57.672Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T19:43:57.672Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T20:00:37.246Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T20:00:37.246Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T20:00:39.844Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T20:00:39.844Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T22:06:56.982Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T22:06:56.982Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T22:06:58.784Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T22:06:58.784Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-01T22:09:25.971Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-01T22:09:25.972Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace
